Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-04 07:00,2024-07-04 09:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-04 12:00,2024-07-04 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-05 07:00,2024-07-05 14:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-05 16:00,2024-07-05 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-07 07:00,2024-07-07 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-08 07:00,2024-07-08 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-08 13:00,2024-07-08 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-09 07:00,2024-07-09 09:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-09 12:00,2024-07-09 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-10 07:00,2024-07-10 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-10 13:00,2024-07-10 14:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-10 16:00,2024-07-10 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-11 12:00,2024-07-11 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-12 07:00,2024-07-12 14:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-12 16:00,2024-07-12 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,2012,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-01 07:00,2024-07-01 11:30
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-01 12:30,2024-07-01 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-02 07:00,2024-07-02 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-03 07:00,2024-07-03 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-04 07:00,2024-07-04 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-05 07:00,2024-07-05 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-07 07:00,2024-07-07 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-08 07:00,2024-07-08 11:30
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-08 12:30,2024-07-08 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1046,Restricted,2024-07-14 07:00,2024-07-14 22:00
