Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-16 07:00,2025-01-16 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-16 11:30,2025-01-16 12:30
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-16 14:30,2025-01-16 15:30
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-16 17:00,2025-01-16 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-17 07:00,2025-01-17 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-17 12:00,2025-01-17 15:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-17 16:00,2025-01-17 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,310,General,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-06 07:00,2025-01-06 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-06 17:00,2025-01-06 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-07 07:00,2025-01-07 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-07 09:00,2025-01-07 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-07 12:00,2025-01-07 12:30
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-07 15:30,2025-01-07 16:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-07 17:00,2025-01-07 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-08 07:00,2025-01-08 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-08 11:00,2025-01-08 13:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-08 15:30,2025-01-08 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-09 07:00,2025-01-09 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-09 09:00,2025-01-09 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-09 15:30,2025-01-09 16:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-09 17:00,2025-01-09 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-10 07:00,2025-01-10 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-10 16:00,2025-01-10 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-13 07:00,2025-01-13 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-13 17:00,2025-01-13 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-14 07:00,2025-01-14 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-14 09:00,2025-01-14 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-14 12:00,2025-01-14 12:30
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-14 15:30,2025-01-14 16:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-14 17:00,2025-01-14 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-15 07:00,2025-01-15 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-15 11:00,2025-01-15 11:30
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-15 15:30,2025-01-15 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-16 07:00,2025-01-16 08:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-16 09:00,2025-01-16 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-16 15:30,2025-01-16 16:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-16 17:00,2025-01-16 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-17 07:00,2025-01-17 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-17 16:00,2025-01-17 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-18 07:00,2025-01-18 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-18 16:00,2025-01-18 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,460,General,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-06 07:00,2025-01-06 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-06 18:00,2025-01-06 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-07 07:00,2025-01-07 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-07 12:00,2025-01-07 13:30
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-07 16:00,2025-01-07 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-08 07:00,2025-01-08 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-08 18:00,2025-01-08 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-09 07:00,2025-01-09 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-09 12:00,2025-01-09 14:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-09 16:00,2025-01-09 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-10 07:00,2025-01-10 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-10 18:00,2025-01-10 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-13 07:00,2025-01-13 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-13 18:00,2025-01-13 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-14 07:00,2025-01-14 10:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-14 12:00,2025-01-14 13:30
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-14 16:00,2025-01-14 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-15 07:00,2025-01-15 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-15 18:00,2025-01-15 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-16 07:00,2025-01-16 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-16 12:00,2025-01-16 14:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-16 16:00,2025-01-16 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-17 07:00,2025-01-17 09:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-17 18:00,2025-01-17 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,462,General,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-06 07:00,2025-01-06 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-06 14:00,2025-01-06 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-07 07:00,2025-01-07 09:30
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-07 11:00,2025-01-07 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-08 07:00,2025-01-08 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-08 14:00,2025-01-08 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-09 07:00,2025-01-09 09:30
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-09 11:00,2025-01-09 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-10 07:00,2025-01-10 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-10 14:00,2025-01-10 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-13 07:00,2025-01-13 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-13 14:00,2025-01-13 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-14 07:00,2025-01-14 09:30
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-14 11:00,2025-01-14 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-15 07:00,2025-01-15 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-15 14:00,2025-01-15 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-16 07:00,2025-01-16 09:30
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-16 11:00,2025-01-16 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-17 07:00,2025-01-17 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-17 14:00,2025-01-17 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,121,Restricted,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-06 07:00,2025-01-06 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-07 07:00,2025-01-07 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-08 07:00,2025-01-08 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-09 07:00,2025-01-09 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-09 12:30,2025-01-09 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-10 07:00,2025-01-10 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-13 07:00,2025-01-13 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-14 07:00,2025-01-14 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-15 07:00,2025-01-15 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-16 07:00,2025-01-16 11:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-16 12:30,2025-01-16 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-17 07:00,2025-01-17 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,LSK,Leonard S. Klinck,302,Restricted,2025-01-19 07:00,2025-01-19 22:00
