Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-02 07:00,2024-09-02 10:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-02 12:00,2024-09-02 13:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-02 17:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-03 07:00,2024-09-03 10:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-03 12:00,2024-09-03 13:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-03 15:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-04 07:00,2024-09-04 09:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-04 12:00,2024-09-04 13:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-05 07:00,2024-09-05 10:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-05 12:00,2024-09-05 13:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-05 15:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-06 07:00,2024-09-06 09:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-06 12:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,1128,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-02 07:00,2024-09-02 11:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-02 13:00,2024-09-02 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-02 16:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-03 07:00,2024-09-03 09:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-03 15:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-04 07:00,2024-09-04 11:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-04 13:00,2024-09-04 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-04 16:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-05 07:00,2024-09-05 09:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-05 11:00,2024-09-05 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-06 07:00,2024-09-06 09:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-06 13:00,2024-09-06 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-06 16:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2004,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-02 07:00,2024-09-02 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-02 17:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-03 07:00,2024-09-03 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-04 07:00,2024-09-04 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-05 07:00,2024-09-05 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2015,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-03 07:00,2024-09-03 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-04 07:00,2024-09-04 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-05 07:00,2024-09-05 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2022,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-03 07:00,2024-09-03 09:30
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-03 12:30,2024-09-03 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-04 07:00,2024-09-04 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-05 07:00,2024-09-05 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2023,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-03 07:00,2024-09-03 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-04 07:00,2024-09-04 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-05 07:00,2024-09-05 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-06 07:00,2024-09-06 10:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-06 13:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2028,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-03 07:00,2024-09-03 14:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-04 07:00,2024-09-04 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-05 07:00,2024-09-05 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,BIOL,Biological Sciences,2029,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,BIOL,Biological Sciences,3013,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,BIOL,Biological Sciences,3013,Restricted,2024-08-27 07:00,2024-08-27 22:00
