Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-06 12:00,2024-11-06 14:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-07 07:00,2024-11-07 16:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-07 19:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-08 13:00,2024-11-08 14:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-08 15:30,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-11 13:00,2024-11-11 14:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-12 07:00,2024-11-12 16:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-12 19:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-13 12:00,2024-11-13 14:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-14 07:00,2024-11-14 16:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-14 19:00,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-15 13:00,2024-11-15 14:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-15 15:30,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,301,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-04 07:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-05 07:00,2024-11-05 11:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-05 12:30,2024-11-05 13:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-05 15:30,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-06 07:00,2024-11-06 12:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-06 14:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-07 07:00,2024-11-07 11:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-07 12:00,2024-11-07 19:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-07 21:30,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-08 07:00,2024-11-08 09:30
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-08 11:00,2024-11-08 13:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-08 15:00,2024-11-08 15:30
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-08 18:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-11 07:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-12 07:00,2024-11-12 11:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-12 12:30,2024-11-12 13:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-12 15:30,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-13 07:00,2024-11-13 12:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-13 14:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-14 07:00,2024-11-14 11:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-14 12:00,2024-11-14 19:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-14 21:30,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-15 07:00,2024-11-15 09:30
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-15 11:00,2024-11-15 13:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-15 15:00,2024-11-15 15:30
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-15 18:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,116,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-04 07:00,2024-11-04 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-05 11:00,2024-11-05 13:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-05 15:30,2024-11-05 17:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-05 19:00,2024-11-05 20:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-06 07:00,2024-11-06 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-07 11:00,2024-11-07 17:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-07 21:30,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-08 07:00,2024-11-08 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-11 07:00,2024-11-11 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-12 11:00,2024-11-12 13:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-12 15:30,2024-11-12 17:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-12 19:00,2024-11-12 20:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-13 07:00,2024-11-13 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-14 11:00,2024-11-14 17:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-14 21:30,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-15 07:00,2024-11-15 14:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,201,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-04 07:00,2024-11-04 14:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-05 07:00,2024-11-05 13:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-05 17:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-06 07:00,2024-11-06 14:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-07 07:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-08 07:00,2024-11-08 15:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-08 18:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-11 07:00,2024-11-11 14:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-12 07:00,2024-11-12 13:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-12 17:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-13 07:00,2024-11-13 14:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-14 07:00,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-15 07:00,2024-11-15 15:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-15 18:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,302,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-04 12:00,2024-11-04 15:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-05 07:00,2024-11-05 14:30
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-05 19:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-06 12:00,2024-11-06 15:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-07 07:00,2024-11-07 16:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-07 19:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-08 07:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-11 12:00,2024-11-11 15:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-12 07:00,2024-11-12 14:30
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-12 19:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-13 12:00,2024-11-13 15:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-14 07:00,2024-11-14 16:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-14 19:00,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-15 07:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,304,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-04 07:00,2024-11-04 10:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-05 07:00,2024-11-05 11:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-05 12:00,2024-11-05 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-05 15:00,2024-11-05 16:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-05 19:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-06 07:00,2024-11-06 15:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-07 07:00,2024-11-07 11:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-07 12:00,2024-11-07 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-07 14:30,2024-11-07 16:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-07 19:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-08 07:00,2024-11-08 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-08 15:00,2024-11-08 15:30
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-11 07:00,2024-11-11 10:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-12 07:00,2024-11-12 11:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-12 12:00,2024-11-12 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-12 15:00,2024-11-12 16:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-12 19:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-13 07:00,2024-11-13 15:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-14 07:00,2024-11-14 11:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-14 12:00,2024-11-14 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-14 14:30,2024-11-14 16:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-14 19:00,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-15 07:00,2024-11-15 13:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-15 15:00,2024-11-15 15:30
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-15 17:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,339,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-04 07:00,2024-11-04 08:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-04 09:30,2024-11-04 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-04 12:00,2024-11-04 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-04 15:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-05 07:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-06 07:00,2024-11-06 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-06 12:00,2024-11-06 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-06 15:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-07 07:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-08 07:00,2024-11-08 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-08 12:00,2024-11-08 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-11 07:00,2024-11-11 08:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-11 09:30,2024-11-11 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-11 12:00,2024-11-11 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-11 15:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-12 07:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-13 07:00,2024-11-13 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-13 12:00,2024-11-13 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-13 15:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-14 07:00,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-15 07:00,2024-11-15 11:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-15 12:00,2024-11-15 14:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,303,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-04 07:00,2024-11-04 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-04 11:00,2024-11-04 15:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-05 07:00,2024-11-05 13:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-05 15:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-06 07:00,2024-11-06 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-06 11:00,2024-11-06 15:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-07 07:00,2024-11-07 12:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-07 14:30,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-08 12:00,2024-11-08 13:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-08 15:00,2024-11-08 15:30
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-11 07:00,2024-11-11 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-11 11:00,2024-11-11 15:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-12 07:00,2024-11-12 13:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-12 15:00,2024-11-12 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-13 07:00,2024-11-13 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-13 11:00,2024-11-13 15:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-14 07:00,2024-11-14 12:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-14 14:30,2024-11-14 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-15 07:00,2024-11-15 10:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-15 12:00,2024-11-15 13:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-15 15:00,2024-11-15 15:30
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-15 17:00,2024-11-15 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,MUSC,Music Building,338,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-04 10:00,2024-11-04 11:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-04 14:00,2024-11-04 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-05 07:00,2024-11-05 08:30
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-05 12:00,2024-11-05 15:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-05 16:00,2024-11-05 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-06 10:00,2024-11-06 11:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-06 12:00,2024-11-06 13:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-06 14:00,2024-11-06 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-07 07:00,2024-11-07 08:30
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-07 12:00,2024-11-07 15:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-07 16:00,2024-11-07 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-08 07:00,2024-11-08 13:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-08 14:00,2024-11-08 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-11 10:00,2024-11-11 11:00
UBCV,2024-2025,MUSC,Music Building,462,Restricted,2024-11-11 14:00,2024-11-11 22:00
