Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-13 16:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-14 07:00,2024-11-14 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-14 12:30,2024-11-14 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-14 18:30,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-15 16:00,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1012,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-04 17:00,2024-11-04 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-05 07:00,2024-11-05 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-05 09:30,2024-11-05 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-05 12:00,2024-11-05 12:30
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-05 17:30,2024-11-05 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-06 07:00,2024-11-06 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-06 17:00,2024-11-06 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-07 07:00,2024-11-07 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-07 09:30,2024-11-07 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-07 12:00,2024-11-07 12:30
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-07 19:30,2024-11-07 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-08 15:30,2024-11-08 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-08 20:00,2024-11-08 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-09 07:00,2024-11-09 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-09 13:00,2024-11-09 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-11 07:00,2024-11-11 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-11 17:00,2024-11-11 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-12 07:00,2024-11-12 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-12 09:30,2024-11-12 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-12 12:00,2024-11-12 12:30
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-12 17:30,2024-11-12 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-13 07:00,2024-11-13 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-13 17:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-14 07:00,2024-11-14 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-14 09:30,2024-11-14 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-14 12:00,2024-11-14 12:30
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-14 19:30,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-15 07:00,2024-11-15 10:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-15 15:30,2024-11-15 18:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-15 20:00,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1013,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-04 17:00,2024-11-04 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-05 07:00,2024-11-05 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-05 10:30,2024-11-05 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-05 20:00,2024-11-05 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-06 07:00,2024-11-06 10:30
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-06 17:00,2024-11-06 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-08 07:00,2024-11-08 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-08 16:30,2024-11-08 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-11 17:00,2024-11-11 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-12 07:30,2024-11-12 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-12 10:30,2024-11-12 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-12 20:00,2024-11-12 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-13 07:30,2024-11-13 10:30
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-13 17:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-14 17:00,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-15 07:00,2024-11-15 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-15 16:30,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,2012,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-04 11:00,2024-11-04 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-04 14:00,2024-11-04 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-05 07:00,2024-11-05 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-05 14:00,2024-11-05 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-05 17:00,2024-11-05 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-06 07:00,2024-11-06 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-06 11:00,2024-11-06 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-06 13:00,2024-11-06 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-06 15:00,2024-11-06 17:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-07 07:00,2024-11-07 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-07 12:00,2024-11-07 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-07 15:00,2024-11-07 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-08 16:00,2024-11-08 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-11 11:00,2024-11-11 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-11 14:00,2024-11-11 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-12 07:00,2024-11-12 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-12 14:00,2024-11-12 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-12 17:00,2024-11-12 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-13 07:00,2024-11-13 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-13 11:00,2024-11-13 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-13 13:00,2024-11-13 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-13 15:00,2024-11-13 17:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-14 07:00,2024-11-14 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-14 12:00,2024-11-14 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-14 15:00,2024-11-14 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-14 17:00,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-15 16:00,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1042,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-04 11:00,2024-11-04 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-04 14:00,2024-11-04 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-05 07:00,2024-11-05 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-05 09:00,2024-11-05 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-05 13:00,2024-11-05 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-05 18:00,2024-11-05 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-06 11:00,2024-11-06 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-06 15:00,2024-11-06 17:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-06 18:00,2024-11-06 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-07 07:00,2024-11-07 08:30
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-07 09:30,2024-11-07 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-07 12:00,2024-11-07 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-07 14:00,2024-11-07 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-08 13:00,2024-11-08 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-08 16:00,2024-11-08 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-11 11:00,2024-11-11 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-11 14:00,2024-11-11 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-12 07:00,2024-11-12 08:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-12 09:00,2024-11-12 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-12 13:00,2024-11-12 16:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-12 18:00,2024-11-12 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-13 11:00,2024-11-13 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-13 15:00,2024-11-13 17:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-14 07:00,2024-11-14 08:30
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-14 09:30,2024-11-14 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-14 12:00,2024-11-14 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-14 14:00,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-15 13:00,2024-11-15 14:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-15 16:00,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,1046,Restricted,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-04 07:00,2024-11-04 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-04 12:30,2024-11-04 14:30
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-04 16:00,2024-11-04 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-05 07:00,2024-11-05 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-05 14:30,2024-11-05 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-06 07:00,2024-11-06 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-06 12:30,2024-11-06 14:30
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-06 16:00,2024-11-06 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-07 07:00,2024-11-07 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-07 14:30,2024-11-07 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-08 07:00,2024-11-08 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-08 13:00,2024-11-08 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-11 07:00,2024-11-11 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-11 12:30,2024-11-11 14:30
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-11 16:00,2024-11-11 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-12 07:00,2024-11-12 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-12 14:30,2024-11-12 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-13 07:00,2024-11-13 11:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-13 12:30,2024-11-13 14:30
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-13 16:00,2024-11-13 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-14 07:00,2024-11-14 13:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-14 14:30,2024-11-14 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-15 07:00,2024-11-15 12:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-15 13:00,2024-11-15 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,ESB,Earth Sciences Building,4192,Restricted,2024-11-17 07:00,2024-11-17 22:00
