Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,CHOI,C.K. Choi Building,120,Restricted,2024-11-08 07:00,2024-11-08 09:30
UBCV,2024-2025,CHOI,C.K. Choi Building,120,Restricted,2024-11-08 12:30,2024-11-08 14:00
UBCV,2024-2025,CHOI,C.K. Choi Building,120,Restricted,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,120,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,120,Restricted,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-28 07:00,2024-10-28 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-29 07:00,2024-10-29 09:30
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-29 12:30,2024-10-29 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-30 07:00,2024-10-30 14:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-30 17:00,2024-10-30 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-10-31 07:00,2024-10-31 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-01 07:00,2024-11-01 13:30
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-01 16:30,2024-11-01 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-02 07:00,2024-11-02 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-03 07:00,2024-11-03 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-04 07:00,2024-11-04 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-05 12:30,2024-11-05 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-06 07:00,2024-11-06 14:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-06 17:00,2024-11-06 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-07 07:00,2024-11-07 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-08 07:00,2024-11-08 13:30
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-08 16:30,2024-11-08 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,CHOI,C.K. Choi Building,351,Restricted,2024-11-10 07:00,2024-11-10 22:00
