Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-07 07:00,2024-10-07 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-08 07:00,2024-10-08 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-09 07:00,2024-10-09 10:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-09 12:00,2024-10-09 16:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-09 18:00,2024-10-09 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-10 07:00,2024-10-10 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-11 07:00,2024-10-11 16:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-11 18:00,2024-10-11 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-12 07:00,2024-10-12 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-13 07:00,2024-10-13 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-14 07:00,2024-10-14 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-15 07:00,2024-10-15 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-16 07:00,2024-10-16 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-17 07:00,2024-10-17 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-18 07:00,2024-10-18 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-19 07:00,2024-10-19 22:00
UBCV,2024-2025,KAIS,Fred Kaiser,1160,Restricted,2024-10-20 07:00,2024-10-20 22:00
